id,route,warehouse,delivery_time,delay_minutes,delay_reason,date
1118,Route C,WH4,5.0,96,Accident,2024-07-22
1119,Route C,WH3,4.5,14,Weather,2024-07-23
1120,Route E,WH2,7.3,103,Mechanical Issue,2024-07-23
1121,Route A,WH3,3.3,0,,2024-07-23
1122,Route C,WH3,4.6,18,Traffic,2024-07-23
1123,Route C,WH3,3.1,100,Accident,2024-07-23
1124,Route D,WH1,8.0,14,Staff Shortage,2024-07-23
1125,Route A,WH2,4.7,12,Staff Shortage,2024-07-23
1126,Route E,WH1,4.0,27,Accident,2024-07-24
1127,Route B,WH2,7.9,66,Accident,2024-07-24
1128,Route A,WH1,4.1,12,Weather,2024-07-24
1129,Route C,WH2,6.3,60,Staff Shortage,2024-07-25
1130,Route C,WH4,6.3,0,,2024-07-25
1131,Route D,WH4,6.5,80,Traffic,2024-07-25
1132,Route B,WH2,6.6,65,Staff Shortage,2024-07-25
1133,Route A,WH2,5.0,15,Staff Shortage,2024-07-26
1134,Route B,WH1,5.9,0,,2024-07-26
1135,Route A,WH4,7.7,89,Staff Shortage,2024-07-26
1136,Route A,WH3,4.8,71,Traffic,2024-07-27
1137,Route C,WH3,4.2,117,Staff Shortage,2024-07-27
1138,Route A,WH4,7.6,47,Accident,2024-07-27
1139,Route A,WH2,7.4,44,Accident,2024-07-28
1140,Route D,WH3,3.8,0,,2024-07-28
1141,Route D,WH1,3.4,83,Traffic,2024-07-28
1142,Route A,WH2,4.4,110,Staff Shortage,2024-07-28
1143,Route E,WH3,6.7,45,Mechanical Issue,2024-07-28
1144,Route A,WH3,7.4,0,,2024-07-28
1145,Route D,WH1,4.4,49,Accident,2024-07-28
1146,Route E,WH3,7.8,37,Traffic,2024-07-29
1147,Route B,WH3,7.9,37,Mechanical Issue,2024-07-29
1148,Route A,WH1,6.8,56,Mechanical Issue,2024-07-29
1149,Route A,WH3,6.5,46,Mechanical Issue,2024-07-29
1150,Route B,WH1,4.8,104,Mechanical Issue,2024-07-29
1151,Route E,WH3,5.2,95,Traffic,2024-07-29
1152,Route B,WH2,3.4,108,Traffic,2024-07-29
1153,Route E,WH4,4.2,85,Accident,2024-07-29
1154,Route D,WH1,4.8,59,Staff Shortage,2024-07-30
1155,Route E,WH4,7.9,24,Mechanical Issue,2024-07-30
1156,Route D,WH1,6.5,29,Traffic,2024-07-30
1157,Route D,WH3,5.7,53,Mechanical Issue,2024-07-30
1158,Route D,WH1,7.6,94,Traffic,2024-07-30
1159,Route A,WH1,3.1,98,Accident,2024-07-30
1160,Route D,WH1,6.8,41,Mechanical Issue,2024-07-30
1161,Route A,WH3,6.8,98,Mechanical Issue,2024-07-31
1162,Route A,WH2,4.5,54,Traffic,2024-07-31
1163,Route D,WH3,6.8,71,Staff Shortage,2024-07-31
1164,Route B,WH3,6.1,111,Weather,2024-07-31
1165,Route D,WH4,5.5,12,Traffic,2024-07-31
1166,Route A,WH4,6.5,115,Staff Shortage,2024-07-31
1167,Route D,WH3,5.7,0,,2024-08-01
1168,Route B,WH4,4.5,67,Mechanical Issue,2024-08-01
1169,Route C,WH2,6.2,26,Weather,2024-08-01
1170,Route C,WH1,4.8,88,Traffic,2024-08-01
1171,Route E,WH3,6.6,22,Traffic,2024-08-01
1172,Route D,WH2,5.7,0,,2024-08-02
1173,Route D,WH3,4.0,0,,2024-08-02
1174,Route E,WH4,3.7,13,Weather,2024-08-02
1175,Route D,WH4,4.6,6,Traffic,2024-08-02
1176,Route B,WH3,5.3,25,Staff Shortage,2024-08-02
1177,Route A,WH2,4.7,114,Weather,2024-08-02
1178,Route E,WH3,3.9,94,Mechanical Issue,2024-08-02
1179,Route D,WH1,4.7,94,Accident,2024-08-03
1180,Route B,WH1,3.4,100,Mechanical Issue,2024-08-03
1181,Route C,WH3,5.2,95,Traffic,2024-08-03
1182,Route B,WH1,6.7,0,,2024-08-03
1183,Route D,WH2,5.2,68,Mechanical Issue,2024-08-03
1184,Route C,WH2,3.1,24,Accident,2024-08-03
1185,Route B,WH1,3.0,21,Mechanical Issue,2024-08-03
1186,Route E,WH1,4.1,73,Weather,2024-08-03
1187,Route E,WH3,4.9,20,Staff Shortage,2024-08-04
1188,Route E,WH1,7.3,15,Traffic,2024-08-04
1189,Route C,WH1,4.8,76,Mechanical Issue,2024-08-04
1190,Route B,WH3,3.8,113,Accident,2024-08-04
1191,Route D,WH1,8.0,0,,2024-08-04
1192,Route D,WH1,5.7,40,Accident,2024-08-04
1193,Route E,WH2,6.2,43,Staff Shortage,2024-08-04
1194,Route D,WH4,5.5,0,,2024-08-04
1195,Route E,WH1,4.6,16,Staff Shortage,2024-08-05
1196,Route A,WH3,4.3,85,Weather,2024-08-05
1197,Route D,WH1,4.9,99,Mechanical Issue,2024-08-05
1198,Route D,WH3,5.7,11,Traffic,2024-08-05
1199,Route D,WH4,5.3,0,,2024-08-05
1200,Route E,WH1,5.8,64,Accident,2024-08-05
1201,Route C,WH2,3.8,0,,2024-08-05
1202,Route E,WH3,6.4,97,Traffic,2024-08-05
1203,Route C,WH3,4.9,103,Weather,2024-08-06
1204,Route D,WH1,5.1,0,,2024-08-06
1205,Route C,WH4,7.9,57,Traffic,2024-08-06
1206,Route D,WH2,3.7,116,Staff Shortage,2024-08-06
1207,Route E,WH1,7.0,0,,2024-08-07
1208,Route C,WH4,3.2,59,Traffic,2024-08-07
1209,Route C,WH2,7.3,103,Weather,2024-08-07
1210,Route C,WH4,4.1,117,Mechanical Issue,2024-08-07
1211,Route C,WH2,4.3,35,Traffic,2024-08-07
1212,Route B,WH1,5.5,11,Weather,2024-08-08
1213,Route D,WH3,6.1,55,Staff Shortage,2024-08-08
1214,Route E,WH3,7.1,0,,2024-08-08
1215,Route A,WH1,7.7,62,Accident,2024-08-08
1216,Route C,WH2,6.3,0,,2024-08-08
1217,Route C,WH2,6.5,39,Staff Shortage,2024-08-08
1218,Route E,WH1,5.8,40,Weather,2024-08-08
1219,Route E,WH2,4.7,74,Mechanical Issue,2024-08-09
1220,Route C,WH3,3.8,0,,2024-08-09
1221,Route C,WH2,7.1,83,Traffic,2024-08-09
1222,Route B,WH2,6.5,0,,2024-08-09
1223,Route C,WH2,7.2,51,Mechanical Issue,2024-08-10
1224,Route A,WH3,3.0,90,Accident,2024-08-10
1225,Route E,WH4,5.9,31,Accident,2024-08-10
1226,Route E,WH2,7.0,73,Accident,2024-08-11
1227,Route B,WH2,7.8,0,,2024-08-11
1228,Route B,WH4,7.3,98,Traffic,2024-08-11
1229,Route A,WH1,7.0,0,,2024-08-11
1230,Route A,WH1,7.9,24,Accident,2024-08-11
1231,Route E,WH3,3.1,82,Traffic,2024-08-11
1232,Route E,WH4,7.6,46,Weather,2024-08-11
1233,Route B,WH3,4.6,19,Traffic,2024-08-11
1234,Route D,WH3,4.4,0,,2024-08-12
1235,Route A,WH1,6.2,90,Traffic,2024-08-12
1236,Route D,WH4,4.3,85,Weather,2024-08-12
1237,Route B,WH3,7.7,19,Mechanical Issue,2024-08-12
1238,Route A,WH1,7.2,7,Staff Shortage,2024-08-12
1239,Route B,WH2,4.4,101,Accident,2024-08-12
1240,Route D,WH3,7.3,107,Accident,2024-08-12
1241,Route D,WH2,5.6,57,Weather,2024-08-13
1242,Route D,WH2,4.4,103,Weather,2024-08-13
1243,Route D,WH2,4.9,105,Weather,2024-08-13
1244,Route C,WH1,7.8,0,,2024-08-13
1245,Route A,WH3,5.5,34,Mechanical Issue,2024-08-13
1246,Route B,WH3,5.6,13,Mechanical Issue,2024-08-13
1247,Route D,WH4,7.6,16,Accident,2024-08-14
1248,Route C,WH1,4.0,20,Mechanical Issue,2024-08-14
1249,Route A,WH2,4.2,12,Accident,2024-08-14
1250,Route D,WH1,4.7,117,Traffic,2024-08-14
1251,Route A,WH2,4.9,86,Accident,2024-08-14
1252,Route E,WH3,5.7,117,Staff Shortage,2024-08-14
1253,Route D,WH2,5.3,90,Traffic,2024-08-15
1254,Route C,WH3,7.5,20,Mechanical Issue,2024-08-15
1255,Route D,WH2,4.1,15,Accident,2024-08-15
1256,Route D,WH3,5.1,0,,2024-08-16
1257,Route B,WH2,5.1,56,Mechanical Issue,2024-08-16
1258,Route E,WH3,4.9,32,Staff Shortage,2024-08-16
1259,Route C,WH2,5.5,95,Staff Shortage,2024-08-16
1260,Route A,WH2,7.6,76,Accident,2024-08-16
1261,Route C,WH2,4.3,92,Mechanical Issue,2024-08-17
1262,Route D,WH4,3.7,21,Weather,2024-08-17
1263,Route A,WH4,6.9,110,Staff Shortage,2024-08-17
1264,Route A,WH4,4.2,0,,2024-08-17
1265,Route C,WH1,7.5,59,Traffic,2024-08-17
1266,Route E,WH3,3.1,57,Weather,2024-08-17
1267,Route B,WH3,3.9,91,Weather,2024-08-18
1268,Route C,WH1,7.5,0,,2024-08-18
1269,Route B,WH3,5.8,57,Accident,2024-08-18
1270,Route D,WH3,7.4,0,,2024-08-18
1271,Route B,WH3,5.5,31,Traffic,2024-08-18
1272,Route B,WH1,6.1,28,Traffic,2024-08-18
1273,Route B,WH2,7.9,0,,2024-08-18
1274,Route A,WH1,5.1,0,,2024-08-19
1275,Route B,WH1,3.2,89,Weather,2024-08-19
1276,Route B,WH3,5.4,0,,2024-08-19
1277,Route C,WH4,3.8,85,Staff Shortage,2024-08-20
1278,Route E,WH4,3.3,51,Weather,2024-08-20
1279,Route C,WH4,3.7,54,Mechanical Issue,2024-08-20
1280,Route E,WH4,4.3,22,Mechanical Issue,2024-08-20
1281,Route C,WH3,7.0,34,Mechanical Issue,2024-08-20
1282,Route A,WH3,4.4,64,Accident,2024-08-20
1283,Route D,WH3,7.6,8,Traffic,2024-08-20
1284,Route D,WH3,6.4,117,Mechanical Issue,2024-08-21
1285,Route E,WH4,4.9,108,Weather,2024-08-21
1286,Route A,WH3,4.3,27,Traffic,2024-08-21
1287,Route B,WH3,7.6,84,Mechanical Issue,2024-08-21
1288,Route D,WH4,4.8,107,Staff Shortage,2024-08-22
1289,Route B,WH4,4.1,88,Mechanical Issue,2024-08-22
1290,Route C,WH3,6.7,49,Accident,2024-08-22
1291,Route B,WH1,4.5,0,,2024-08-22
1292,Route A,WH1,4.3,58,Mechanical Issue,2024-08-22
1293,Route D,WH2,8.0,29,Staff Shortage,2024-08-22
1294,Route B,WH1,5.5,20,Accident,2024-08-22
1295,Route E,WH3,4.4,52,Mechanical Issue,2024-08-23
1296,Route B,WH4,4.8,19,Weather,2024-08-23
1297,Route E,WH1,3.7,0,,2024-08-23
1298,Route E,WH3,3.6,83,Traffic,2024-08-23
1299,Route B,WH3,6.1,67,Traffic,2024-08-23
1300,Route C,WH2,3.6,44,Accident,2024-08-24
1301,Route B,WH2,7.2,15,Mechanical Issue,2024-08-24
1302,Route A,WH3,7.0,64,Weather,2024-08-24
1303,Route A,WH3,6.1,88,Mechanical Issue,2024-08-24
1304,Route E,WH3,6.3,105,Traffic,2024-08-24
1305,Route E,WH2,6.2,13,Staff Shortage,2024-08-24
1306,Route C,WH4,7.8,0,,2024-08-24
1307,Route A,WH1,5.7,80,Staff Shortage,2024-08-24
1308,Route A,WH3,3.2,88,Traffic,2024-08-25
1309,Route E,WH1,3.8,55,Traffic,2024-08-25
1310,Route B,WH2,4.2,0,,2024-08-25
1311,Route E,WH3,4.7,84,Traffic,2024-08-25
1312,Route D,WH3,5.6,110,Staff Shortage,2024-08-25
1313,Route A,WH1,7.9,41,Weather,2024-08-26
1314,Route B,WH1,3.0,40,Accident,2024-08-26
1315,Route A,WH1,4.3,26,Accident,2024-08-26
1316,Route A,WH4,5.3,32,Staff Shortage,2024-08-26
1317,Route D,WH2,5.9,81,Weather,2024-08-26
1318,Route A,WH4,7.3,91,Weather,2024-08-26
1319,Route C,WH4,3.2,90,Weather,2024-08-26
1320,Route A,WH3,5.2,73,Weather,2024-08-26
1321,Route C,WH2,7.6,85,Mechanical Issue,2024-08-27
1322,Route A,WH3,7.8,89,Traffic,2024-08-27
1323,Route B,WH4,7.1,0,,2024-08-27
1324,Route D,WH3,6.6,75,Mechanical Issue,2024-08-27
1325,Route B,WH1,5.8,0,,2024-08-27
1326,Route A,WH2,7.1,66,Weather,2024-08-28
1327,Route B,WH2,4.8,43,Mechanical Issue,2024-08-28
1328,Route A,WH2,3.5,0,,2024-08-28
1329,Route A,WH4,7.3,83,Weather,2024-08-28
1330,Route A,WH3,7.0,60,Traffic,2024-08-28
1331,Route A,WH2,6.0,33,Traffic,2024-08-28
1332,Route E,WH2,7.5,0,,2024-08-28
1333,Route A,WH4,3.1,97,Mechanical Issue,2024-08-29
1334,Route A,WH4,4.6,38,Weather,2024-08-29
1335,Route E,WH2,6.5,44,Staff Shortage,2024-08-29
1336,Route B,WH3,4.2,58,Weather,2024-08-30
1337,Route E,WH1,5.5,69,Mechanical Issue,2024-08-30
1338,Route D,WH2,3.6,109,Traffic,2024-08-30
1339,Route A,WH3,3.8,106,Weather,2024-08-30
1340,Route A,WH3,7.9,0,,2024-08-30
1341,Route E,WH2,6.0,111,Weather,2024-08-30
1342,Route A,WH2,5.0,25,Traffic,2024-08-30
1343,Route C,WH1,5.5,17,Traffic,2024-08-31
1344,Route E,WH2,5.8,120,Mechanical Issue,2024-08-31
1345,Route C,WH1,5.0,28,Traffic,2024-08-31
1346,Route D,WH3,6.0,112,Staff Shortage,2024-09-01
1347,Route C,WH3,6.4,97,Staff Shortage,2024-09-01
1348,Route B,WH4,6.1,0,,2024-09-01
1349,Route E,WH3,3.0,36,Staff Shortage,2024-09-01
1350,Route D,WH4,3.9,55,Weather,2024-09-01
1351,Route D,WH3,7.3,60,Weather,2024-09-01
1352,Route E,WH4,4.4,7,Accident,2024-09-02
1353,Route D,WH3,7.5,27,Staff Shortage,2024-09-02
1354,Route D,WH1,4.1,16,Accident,2024-09-02
1355,Route D,WH2,5.2,109,Mechanical Issue,2024-09-02
1356,Route D,WH4,7.3,89,Staff Shortage,2024-09-02
1357,Route E,WH2,5.8,0,,2024-09-02
1358,Route C,WH1,3.4,102,Staff Shortage,2024-09-03
1359,Route C,WH4,6.1,110,Staff Shortage,2024-09-03
1360,Route B,WH2,5.7,89,Staff Shortage,2024-09-03
1361,Route E,WH2,3.2,47,Weather,2024-09-03
1362,Route C,WH4,4.8,29,Accident,2024-09-03
1363,Route E,WH4,7.8,29,Accident,2024-09-03
1364,Route D,WH1,3.4,119,Staff Shortage,2024-09-04
1365,Route A,WH1,5.0,0,,2024-09-04
1366,Route D,WH2,6.8,14,Staff Shortage,2024-09-04
1367,Route B,WH3,5.8,51,Mechanical Issue,2024-09-04
1368,Route C,WH1,7.8,28,Mechanical Issue,2024-09-04
1369,Route B,WH1,6.6,0,,2024-09-04
1370,Route A,WH1,3.4,58,Mechanical Issue,2024-09-04
1371,Route E,WH1,7.4,0,,2024-09-05
1372,Route C,WH4,5.9,0,,2024-09-05
1373,Route C,WH4,7.4,120,Staff Shortage,2024-09-05
1374,Route C,WH4,4.8,91,Staff Shortage,2024-09-05
1375,Route C,WH2,3.7,81,Weather,2024-09-05
1376,Route E,WH2,4.0,88,Weather,2024-09-06
1377,Route C,WH2,7.6,45,Traffic,2024-09-06
1378,Route A,WH4,4.5,44,Accident,2024-09-06
1379,Route B,WH3,6.2,5,Accident,2024-09-06
1380,Route D,WH1,7.6,80,Mechanical Issue,2024-09-07
1381,Route D,WH3,3.7,10,Traffic,2024-09-07
1382,Route D,WH4,6.7,96,Staff Shortage,2024-09-07
1383,Route D,WH4,3.3,73,Staff Shortage,2024-09-07
1384,Route B,WH2,5.5,63,Staff Shortage,2024-09-07
1385,Route A,WH3,7.8,95,Traffic,2024-09-08
1386,Route B,WH1,3.3,84,Staff Shortage,2024-09-08
1387,Route D,WH4,6.3,115,Weather,2024-09-08
1388,Route B,WH3,7.2,24,Mechanical Issue,2024-09-08
1389,Route C,WH1,7.4,9,Weather,2024-09-08
1390,Route C,WH2,4.0,0,,2024-09-08
1391,Route C,WH3,7.5,118,Staff Shortage,2024-09-08
1392,Route D,WH4,6.2,35,Mechanical Issue,2024-09-08
1393,Route B,WH2,6.8,49,Traffic,2024-09-09
1394,Route A,WH2,4.2,103,Weather,2024-09-09
1395,Route D,WH4,6.3,0,,2024-09-09
1396,Route E,WH1,6.5,61,Staff Shortage,2024-09-09
1397,Route C,WH3,7.3,61,Accident,2024-09-09
1398,Route A,WH3,6.0,49,Mechanical Issue,2024-09-09
1399,Route C,WH3,7.7,0,,2024-09-10
1400,Route D,WH4,4.9,59,Mechanical Issue,2024-09-10
1401,Route E,WH1,5.1,0,,2024-09-10
1402,Route C,WH4,7.8,36,Traffic,2024-09-10
1403,Route B,WH1,4.2,68,Mechanical Issue,2024-09-10
1404,Route D,WH3,6.4,0,,2024-09-10
1405,Route B,WH4,6.6,79,Mechanical Issue,2024-09-10
1406,Route E,WH3,3.9,9,Traffic,2024-09-11
1407,Route A,WH3,3.1,42,Accident,2024-09-11
1408,Route A,WH4,5.1,91,Weather,2024-09-11
1409,Route C,WH4,4.9,97,Mechanical Issue,2024-09-12
1410,Route C,WH3,4.9,31,Traffic,2024-09-12
1411,Route E,WH4,5.6,97,Accident,2024-09-12
1412,Route A,WH1,3.1,0,,2024-09-12
1413,Route B,WH1,3.1,61,Accident,2024-09-12
1414,Route C,WH1,3.7,65,Mechanical Issue,2024-09-12
1415,Route E,WH1,6.9,90,Traffic,2024-09-12
1416,Route A,WH3,7.5,19,Traffic,2024-09-13
1417,Route E,WH3,3.1,39,Staff Shortage,2024-09-13
1418,Route C,WH4,4.0,36,Staff Shortage,2024-09-13
1419,Route B,WH1,8.0,108,Weather,2024-09-13
1420,Route A,WH2,4.9,118,Traffic,2024-09-13
1421,Route B,WH4,7.3,21,Staff Shortage,2024-09-14
1422,Route B,WH2,6.6,113,Weather,2024-09-14
1423,Route A,WH4,7.5,0,,2024-09-14
1424,Route A,WH1,7.4,0,,2024-09-14
1425,Route C,WH1,7.9,53,Weather,2024-09-14
1426,Route B,WH1,6.3,53,Staff Shortage,2024-09-14
1427,Route A,WH4,3.2,32,Mechanical Issue,2024-09-15
1428,Route C,WH1,5.2,87,Weather,2024-09-15
1429,Route C,WH1,8.0,32,Staff Shortage,2024-09-15
1430,Route C,WH3,7.5,106,Weather,2024-09-15
1431,Route C,WH4,3.4,58,Weather,2024-09-16
1432,Route D,WH2,6.9,72,Staff Shortage,2024-09-16
1433,Route A,WH4,5.9,15,Accident,2024-09-16
1434,Route E,WH4,7.0,42,Traffic,2024-09-16
1435,Route A,WH3,5.0,106,Traffic,2024-09-16
1436,Route A,WH3,6.4,69,Mechanical Issue,2024-09-16
1437,Route B,WH2,3.4,16,Traffic,2024-09-17
1438,Route E,WH3,6.7,70,Weather,2024-09-17
1439,Route A,WH3,4.4,79,Mechanical Issue,2024-09-17
1440,Route C,WH1,6.6,88,Traffic,2024-09-17
1441,Route D,WH2,4.8,0,,2024-09-17
1442,Route A,WH3,7.4,84,Weather,2024-09-17
1443,Route C,WH4,7.8,86,Traffic,2024-09-17
1444,Route D,WH4,5.8,0,,2024-09-18
1445,Route A,WH1,7.5,0,,2024-09-18
1446,Route A,WH3,4.3,120,Staff Shortage,2024-09-18
1447,Route A,WH1,7.6,50,Accident,2024-09-18
1448,Route A,WH4,3.7,110,Accident,2024-09-18
1449,Route A,WH3,4.5,35,Mechanical Issue,2024-09-18
1450,Route D,WH1,6.0,58,Traffic,2024-09-18
1451,Route C,WH1,7.0,0,,2024-09-19
1452,Route C,WH3,3.4,72,Traffic,2024-09-19
1453,Route B,WH3,4.7,32,Traffic,2024-09-19
1454,Route E,WH1,6.8,71,Traffic,2024-09-20
1455,Route D,WH2,7.7,56,Mechanical Issue,2024-09-20
1456,Route C,WH3,4.7,104,Staff Shortage,2024-09-20
1457,Route C,WH4,6.9,61,Accident,2024-09-20
1458,Route D,WH2,3.1,11,Accident,2024-09-20
1459,Route E,WH3,5.7,46,Accident,2024-09-21
1460,Route C,WH4,6.9,119,Staff Shortage,2024-09-21
1461,Route C,WH4,4.7,57,Accident,2024-09-21
1462,Route B,WH3,7.2,58,Mechanical Issue,2024-09-21
1463,Route E,WH4,4.6,0,,2024-09-22
1464,Route B,WH1,5.0,40,Accident,2024-09-22
1465,Route A,WH1,3.3,104,Traffic,2024-09-22
1466,Route D,WH3,7.2,104,Accident,2024-09-22
1467,Route E,WH2,5.6,0,,2024-09-23
1468,Route A,WH1,5.1,100,Staff Shortage,2024-09-23
1469,Route D,WH3,6.5,111,Weather,2024-09-23
1470,Route A,WH4,7.0,52,Staff Shortage,2024-09-23
1471,Route B,WH3,3.9,6,Staff Shortage,2024-09-23
1472,Route A,WH1,7.1,46,Staff Shortage,2024-09-23
1473,Route E,WH1,5.7,0,,2024-09-23
1474,Route D,WH3,7.9,81,Weather,2024-09-24
1475,Route D,WH1,7.6,77,Traffic,2024-09-24
1476,Route C,WH2,4.4,43,Staff Shortage,2024-09-24
1477,Route A,WH4,7.7,70,Staff Shortage,2024-09-24
1478,Route D,WH4,7.4,95,Staff Shortage,2024-09-24
1479,Route C,WH3,7.4,36,Weather,2024-09-25
1480,Route D,WH3,7.5,76,Weather,2024-09-25
1481,Route D,WH1,3.5,33,Accident,2024-09-25
1482,Route D,WH2,5.9,101,Staff Shortage,2024-09-25
1483,Route E,WH4,3.4,75,Mechanical Issue,2024-09-25
1484,Route D,WH4,8.0,31,Staff Shortage,2024-09-26
1485,Route B,WH4,3.3,53,Weather,2024-09-26
1486,Route A,WH3,6.8,77,Weather,2024-09-26
1487,Route D,WH4,7.6,46,Mechanical Issue,2024-09-26
1488,Route A,WH1,5.6,11,Accident,2024-09-26
1489,Route B,WH4,6.7,35,Mechanical Issue,2024-09-27
1490,Route C,WH1,4.5,0,,2024-09-27
1491,Route D,WH1,4.9,20,Accident,2024-09-27
1492,Route C,WH2,4.0,72,Accident,2024-09-27
1493,Route C,WH2,3.9,35,Weather,2024-09-27
1494,Route D,WH1,3.3,0,,2024-09-27
1495,Route A,WH1,6.6,71,Accident,2024-09-27
1496,Route E,WH4,5.7,0,,2024-09-27
1497,Route D,WH1,4.7,52,Mechanical Issue,2024-09-28
1498,Route C,WH1,6.2,56,Accident,2024-09-28
1499,Route E,WH1,5.3,23,Mechanical Issue,2024-09-28
1500,Route D,WH2,7.3,26,Accident,2024-09-29
1501,Route B,WH2,6.8,38,Weather,2024-09-29
1502,Route D,WH1,5.6,23,Mechanical Issue,2024-09-29
1503,Route C,WH1,5.2,23,Weather,2024-09-29
1504,Route E,WH1,7.0,9,Weather,2024-09-29
1505,Route D,WH1,5.6,51,Mechanical Issue,2024-09-29
1506,Route D,WH3,7.5,15,Accident,2024-09-30
1507,Route A,WH4,3.6,15,Accident,2024-09-30
1508,Route E,WH2,6.7,0,,2024-09-30
1509,Route A,WH2,7.0,66,Traffic,2024-09-30
1510,Route B,WH2,7.1,106,Accident,2024-10-01
1511,Route B,WH3,5.0,63,Staff Shortage,2024-10-01
1512,Route A,WH1,7.3,33,Weather,2024-10-01
1513,Route D,WH1,7.7,79,Staff Shortage,2024-10-02
1514,Route E,WH2,4.7,76,Staff Shortage,2024-10-02
1515,Route D,WH1,3.3,108,Accident,2024-10-02
1516,Route D,WH4,4.0,16,Traffic,2024-10-02
1517,Route D,WH2,5.5,81,Mechanical Issue,2024-10-02
1518,Route E,WH4,3.6,73,Accident,2024-10-02
1519,Route A,WH3,3.7,96,Accident,2024-10-02
1520,Route D,WH2,4.4,106,Weather,2024-10-02
1521,Route C,WH1,4.2,13,Weather,2024-10-03
1522,Route D,WH3,4.2,81,Accident,2024-10-03
1523,Route C,WH4,7.5,5,Staff Shortage,2024-10-03
1524,Route C,WH2,4.6,106,Traffic,2024-10-03
1525,Route D,WH1,3.5,0,,2024-10-03
1526,Route C,WH3,7.9,7,Weather,2024-10-03
1527,Route A,WH4,6.9,45,Traffic,2024-10-03
1528,Route E,WH2,3.3,99,Mechanical Issue,2024-10-03
1529,Route D,WH3,4.6,0,,2024-10-04
1530,Route E,WH2,6.1,94,Accident,2024-10-04
1531,Route B,WH4,6.0,32,Accident,2024-10-04
1532,Route A,WH2,7.7,102,Staff Shortage,2024-10-05
1533,Route D,WH4,3.5,109,Accident,2024-10-05
1534,Route E,WH3,7.3,39,Weather,2024-10-05
1535,Route A,WH1,5.2,63,Mechanical Issue,2024-10-05
1536,Route D,WH3,6.0,0,,2024-10-06
1537,Route C,WH1,5.5,118,Accident,2024-10-06
1538,Route E,WH3,6.3,40,Accident,2024-10-06
1539,Route C,WH3,6.3,78,Weather,2024-10-06
1540,Route C,WH3,7.0,12,Staff Shortage,2024-10-06
1541,Route E,WH2,3.8,54,Weather,2024-10-07
1542,Route D,WH2,3.4,48,Staff Shortage,2024-10-07
1543,Route A,WH1,4.6,54,Accident,2024-10-07
1544,Route A,WH2,7.9,87,Accident,2024-10-07
1545,Route B,WH2,8.0,53,Weather,2024-10-08
1546,Route D,WH2,4.5,92,Accident,2024-10-08
1547,Route B,WH2,4.8,62,Mechanical Issue,2024-10-08
1548,Route D,WH3,5.3,78,Accident,2024-10-09
1549,Route A,WH1,6.5,27,Mechanical Issue,2024-10-09
1550,Route B,WH1,3.0,69,Traffic,2024-10-09
1551,Route E,WH3,4.2,69,Accident,2024-10-09
1552,Route D,WH4,6.7,68,Weather,2024-10-09
1553,Route B,WH2,6.2,74,Weather,2024-10-09
1554,Route B,WH2,7.3,25,Staff Shortage,2024-10-10
1555,Route B,WH4,5.9,113,Accident,2024-10-10
1556,Route A,WH1,7.0,74,Weather,2024-10-10
1557,Route E,WH1,5.4,98,Weather,2024-10-10
1558,Route D,WH1,7.3,59,Weather,2024-10-10
1559,Route C,WH3,7.0,98,Staff Shortage,2024-10-10
1560,Route D,WH2,4.8,91,Accident,2024-10-11
1561,Route D,WH1,7.4,0,,2024-10-11
1562,Route A,WH4,7.8,0,,2024-10-11
1563,Route D,WH4,3.8,60,Mechanical Issue,2024-10-11
1564,Route E,WH4,4.3,0,,2024-10-11
1565,Route B,WH1,5.6,72,Accident,2024-10-11
1566,Route D,WH4,7.2,112,Staff Shortage,2024-10-11
1567,Route B,WH4,7.5,29,Accident,2024-10-12
1568,Route C,WH4,4.0,119,Traffic,2024-10-12
1569,Route E,WH1,3.4,6,Accident,2024-10-12
1570,Route B,WH1,3.5,94,Staff Shortage,2024-10-12
1571,Route D,WH3,6.4,0,,2024-10-12
1572,Route B,WH2,4.2,52,Weather,2024-10-13
1573,Route B,WH4,6.1,0,,2024-10-13
1574,Route C,WH1,4.2,104,Accident,2024-10-13
1575,Route A,WH4,4.1,79,Traffic,2024-10-13
1576,Route E,WH1,5.0,58,Staff Shortage,2024-10-13
1577,Route D,WH1,4.5,53,Accident,2024-10-13
1578,Route B,WH1,6.8,102,Weather,2024-10-13
1579,Route B,WH1,7.3,10,Accident,2024-10-13
1580,Route C,WH4,7.0,85,Mechanical Issue,2024-10-14
1581,Route A,WH1,3.3,14,Staff Shortage,2024-10-14
1582,Route D,WH1,6.8,0,,2024-10-14
1583,Route B,WH1,6.8,118,Mechanical Issue,2024-10-14
1584,Route A,WH4,5.2,40,Weather,2024-10-14
1585,Route B,WH4,3.4,0,,2024-10-14
1586,Route C,WH4,3.3,120,Weather,2024-10-14
1587,Route E,WH4,7.6,30,Staff Shortage,2024-10-15
1588,Route E,WH2,4.6,78,Traffic,2024-10-15
1589,Route B,WH4,3.0,22,Mechanical Issue,2024-10-15
1590,Route B,WH4,6.3,61,Traffic,2024-10-15
1591,Route C,WH1,5.2,110,Weather,2024-10-16
1592,Route D,WH2,7.5,38,Weather,2024-10-16
1593,Route E,WH2,6.8,92,Staff Shortage,2024-10-16
1594,Route E,WH3,6.1,86,Staff Shortage,2024-10-16
1595,Route B,WH1,6.4,100,Traffic,2024-10-16
